sample	assembly_species	assembly_taxon	top_mapped_taxon	top_mapped_reads	chao1_estimate	assembly_hit	input_reads	mapped_reads	ntu_observed_once	ntu_observed_twice	ntu_observed_three_plus	message
SRX1564925	Lactobacillus rhamnosus	Lactobacillus	Lactobacillus	3659	16.500	CP014201.1046218.1047796	1592570	4330	3	1	12	
SRX1565073	Lactobacillus rhamnosus	Lactobacillus	Lactobacillus	3848	24.500	CP014201.1046218.1047796	1398550	4516	5	1	12	
SRX1565095	Lactobacillus rhamnosus	Lactobacillus	Lactobacillus	3371	14.500	CP014201.1046218.1047796	1491250	3947	6	4	10	
SRX1565108	Lactobacillus rhamnosus	Lactobacillus	Lactobacillus	3695	13.250	CP014201.1046218.1047796	1498409	4355	3	2	11	
SRX1565157	Lactobacillus rhamnosus	Lactobacillus	Lactobacillus	3819	29.000	CP014201.1046218.1047796	1479606	4443	6	1	11	
SRX1615118	Lactobacillus fermentum	Lactobacillus	Lactobacillus	6820	12.500	AP017973.1435046.1436618	1579458	7775	3	3	11	
SRX1760642	Lactobacillus paralimentarius	Lactobacillus	Lactobacillus	4173	7.667	AJ417500.1.1563	1804769	4201	4	3	5	
SRX1760645	Lactobacillus lindneri	Lactobacillus	Lactobacillus	6896	n.d.	CP014907.97049.98633	1368250	7066	4	0	8	
SRX1760646	Lactobacillus nagelii	Lactobacillus	Lactobacillus	5257	12.167	AB162131.1.1531	1790699	5449	5	3	8	
SRX1879424	Lactobacillus harbinensis	Lactobacillus	Lactobacillus	2666	38.250	AB194126.1.1507	1193667	2735	11	2	8	
SRX1970176	Lactobacillus paracasei	Lactobacillus	Lactobacillus	1892	23.000	CP029686.1212146.1213724	1380369	1946	12	4	5	
SRX1970177	Lactobacillus paracasei	Lactobacillus	Lactobacillus	1541	23.000	CP029686.1212146.1213724	1299596	1580	8	2	7	
SRX1970178	Lactobacillus paracasei	Lactobacillus	Lactobacillus	1514	20.250	CP029686.1212146.1213724	1282171	1566	7	2	8	
SRX2032381	Lactobacillus acidophilus NCFM	Lactobacillus	Lactobacillus	3310	65.000	CP000033.1632689.1634260	638846	3445	18	3	11	
SRX2032382	Lactobacillus acidophilus NCFM	Lactobacillus	Lactobacillus	9885	134.250	CP000033.1632689.1634260	932321	10503	21	2	24	
SRX2032383	Lactobacillus acidophilus NCFM	Lactobacillus	Lactobacillus	3632	31.900	CP000033.1632689.1634260	692013	3904	13	5	15	
SRX2032384	Lactobacillus acidophilus NCFM	Lactobacillus	Lactobacillus	1684	15.250	CP000033.1632689.1634260	213346	1706	7	2	3	
SRX2032385	Lactobacillus acidophilus NCFM	Lactobacillus	Lactobacillus	4249	59.167	CP000033.1632689.1634260	538501	4442	17	3	11	
SRX2032386	Lactobacillus acidophilus NCFM	Lactobacillus	Lactobacillus	2310	n.d.	CP000033.1632689.1634260	432073	2311	1	0	1	
SRX2032387	Lactobacillus acidophilus NCFM	Lactobacillus	Lactobacillus	4493	67.083	CP000033.1632689.1634260	990050	4814	25	6	15	
SRX2032388	Lactobacillus acidophilus NCFM	Lactobacillus	Lactobacillus	4271	28.000	CP000033.1632689.1634260	898003	4656	10	5	18	
SRX2052678	Lactobacillus ruminis ATCC 25644	Lactobacillus	Lactobacillus	3637	11.083	AFYE01000091.124.1666	746053	3781	5	6	9	
SRX2063621	Lactobacillus acidophilus NCFM	Lactobacillus	Lactobacillus	2714	31.333	CP000033.1632689.1634260	592125	2858	16	6	10	
SRX2105549	Lactobacillus plantarum	Lactobacillus	Lactobacillus	3337	127.500	CP011769.1010671.1012246	1120430	3623	15	1	15	
SRX2105550	Lactobacillus plantarum	Lactobacillus	Lactobacillus	2447	23.400	CP011769.1010671.1012246	966567	2584	12	5	9	
SRX2105551	Lactobacillus plantarum	Lactobacillus	Lactobacillus	1904	12.000	CP011769.1010671.1012246	616746	1945	4	1	4	
SRX2105552	Lactobacillus plantarum	Lactobacillus	Lactobacillus	2072	12.250	CP032359.485125.486700	744784	2121	5	2	6	
SRX2105553	Lactobacillus plantarum	Lactobacillus	Lactobacillus	1762	98.250	CP011769.1010671.1012246	708184	1890	19	2	8	
SRX2105554	Lactobacillus plantarum	Lactobacillus	Lactobacillus	2203	405.000	CP011769.1010671.1012246	881223	2354	28	1	13	
SRX2105555	Lactobacillus plantarum	Lactobacillus	Lactobacillus	2528	110.000	CP011769.1010671.1012246	944349	2706	20	2	10	
SRX2118809	Lactobacillus rogosae	Lachnospira	Lachnospira	2288	n.d.	GU269544.1.1452	1163256	3040	9	0	14	
SRX2118812	Lactobacillus kefiranofaciens ZW3	Lactobacillus	Lactobacillus	1667	15.667	CP002764.142439.144002	860565	1705	8	3	5	
SRX2126115	Lactobacillus apis	Lactobacillus	Lactobacillus	2791	8.000	CP029476.75988.77561	771039	2833	4	2	4	
SRX2126118	Lactobacillus bombicola	Lactobacillus	Lactobacillus	3089	n.d.	FOMN01000019.107.1676	828681	3125	7	0	5	
SRX2147351	Lactobacillus paracasei	Lactobacillus	Lactobacillus	3681	14.000	CP029686.1212146.1213724	1517206	4204	2	1	12	
SRX2147357	Lactobacillus paracasei	Lactobacillus	Lactobacillus	4301	17.250	CP029686.1212146.1213724	1538032	4813	5	2	11	
SRX2147359	Lactobacillus paracasei	Lactobacillus	Lactobacillus	4929	37.000	CP029686.1212146.1213724	1915143	5676	10	2	12	
SRX2147360	Lactobacillus paracasei	Lactobacillus	Lactobacillus	5371	22.000	CP029686.1212146.1213724	1884475	6112	6	2	13	
SRX2147361	Lactobacillus paracasei	Lactobacillus	Lactobacillus	5376	22.000	CP029686.1212146.1213724	1886684	6162	4	1	14	
SRX2147363	Lactobacillus paracasei	Lactobacillus	Lactobacillus	5440	40.000	CP029686.1212146.1213724	1908085	6231	10	2	15	
SRX2147364	Lactobacillus paracasei	Lactobacillus	Lactobacillus	4655	n.d.	CP029686.1212146.1213724	1728825	5328	8	0	14	
SRX2147366	Lactobacillus paracasei	Lactobacillus	Lactobacillus	5506	n.d.	CP029686.1923855.1925433	2078718	6264	8	0	13	
SRX2147367	Lactobacillus paracasei	Lactobacillus	Lactobacillus	4906	20.900	CP029686.1212146.1213724	1747036	5618	7	5	16	
SRX2147368	Lactobacillus paracasei	Lactobacillus	Lactobacillus	4785	32.167	CP029686.1212146.1213724	1801101	5457	11	3	12	
SRX2147369	Lactobacillus paracasei	Lactobacillus	Lactobacillus	5270	23.250	CP029686.1212146.1213724	1893163	5974	7	2	11	
SRX2147372	Lactobacillus paracasei	Lactobacillus	Lactobacillus	4764	n.d.	CP029686.1212146.1213724	1644598	5464	11	0	15	
SRX2147374	Lactobacillus paracasei	Lactobacillus	Lactobacillus	4820	67.250	CP029686.1212146.1213724	1677448	5467	15	2	11	
SRX2147376	Lactobacillus paracasei	Lactobacillus	Lactobacillus	4583	23.500	CP029686.1212146.1213724	1695771	5226	10	4	11	
SRX2147377	Lactobacillus paracasei	Lactobacillus	Lactobacillus	4737	99.500	CP029686.1212146.1213724	1690972	5389	13	1	15	
SRX2147379	Lactobacillus paracasei	Lactobacillus	Lactobacillus	4861	73.167	CP029686.1212146.1213724	1641936	5510	19	3	13	
SRX2147380	Lactobacillus paracasei	Lactobacillus	Lactobacillus	5660	106.250	CP029686.1212146.1213724	1919980	6638	19	2	16	
SRX2147382	Lactobacillus paracasei	Lactobacillus	Lactobacillus	5427	38.000	CP029686.1212146.1213724	1775205	6167	10	2	13	
SRX2147383	Lactobacillus paracasei	Lactobacillus	Lactobacillus	5442	40.500	CP029686.1212146.1213724	1858605	6252	7	1	16	
SRX2147386	Lactobacillus paracasei	Lactobacillus	Lactobacillus	5130	n.d.	CP029686.1212146.1213724	1775022	5838	10	0	13	
SRX2147387	Lactobacillus paracasei	Lactobacillus	Lactobacillus	5481	36.125	CP029686.1212146.1213724	1934163	6281	13	4	15	
SRX2147388	Lactobacillus paracasei	Lactobacillus	Lactobacillus	5075	n.d.	CP029686.1212146.1213724	1803590	5846	13	0	13	
SRX2147391	Lactobacillus paracasei	Lactobacillus	Lactobacillus	5447	n.d.	CP029686.1212146.1213724	1746906	6172	7	0	13	
SRX2147393	Lactobacillus paracasei	Lactobacillus	Lactobacillus	5339	24.667	CP029686.1212146.1213724	1733372	6038	8	3	14	
SRX2147395	Lactobacillus paracasei	Lactobacillus	Lactobacillus	5335	27.400	CP029686.1212146.1213724	1670905	6067	12	5	13	
SRX2147397	Lactobacillus paracasei	Lactobacillus	Lactobacillus	5566	64.000	CP029686.1212146.1213724	1739921	6382	14	2	15	
SRX2147398	Lactobacillus paracasei	Lactobacillus	Lactobacillus	5010	n.d.	CP029686.1212146.1213724	1651363	5595	7	0	12	
SRX2147400	Lactobacillus paracasei	Lactobacillus	Lactobacillus	4984	37.500	CP029686.1212146.1213724	1759713	5627	7	1	13	
SRX2147402	Lactobacillus paracasei	Lactobacillus	Lactobacillus	4950	42.250	CP029686.1212146.1213724	1748643	5604	11	2	12	
SRX2147404	Lactobacillus paracasei	Lactobacillus	Lactobacillus	5133	60.167	CP029686.1212146.1213724	1729718	5794	17	3	12	
SRX2147405	Lactobacillus paracasei	Lactobacillus	Lactobacillus	4825	113.000	CP029686.1212146.1213724	1758475	5491	20	2	13	
SRX2147410	Lactobacillus paracasei	Lactobacillus	Lactobacillus	4785	24.250	CP029686.1212146.1213724	1718851	5445	7	2	12	
SRX2147413	Lactobacillus paracasei	Lactobacillus	Lactobacillus	5111	24.250	CP029686.1212146.1213724	1750896	5807	7	2	12	
SRX2147418	Lactobacillus paracasei	Lactobacillus	Lactobacillus	5182	13.667	CP029686.1212146.1213724	1755062	5856	4	3	11	
SRX2147421	Lactobacillus paracasei	Lactobacillus	Lactobacillus	4872	43.250	CP029686.1212146.1213724	1680189	5521	11	2	13	
SRX2147423	Lactobacillus paracasei	Lactobacillus	Lactobacillus	5039	n.d.	CP029686.1212146.1213724	1806044	5689	5	0	12	
SRX2147425	Lactobacillus paracasei	Lactobacillus	Lactobacillus	4688	60.000	CP029686.1212146.1213724	1613555	5297	14	2	11	
SRX2147436	Lactobacillus paracasei	Lactobacillus	Lactobacillus	4616	24.500	CP029686.1212146.1213724	1622429	5270	10	4	12	
SRX2147437	Lactobacillus paracasei	Lactobacillus	Lactobacillus	4614	41.900	CP029686.1212146.1213724	1668812	5245	17	5	13	
SRX2147438	Lactobacillus paracasei	Lactobacillus	Lactobacillus	4558	98.500	CP029686.1212146.1213724	1675448	5181	13	1	14	
SRX2147440	Lactobacillus paracasei	Lactobacillus	Lactobacillus	4353	25.250	CP029686.1212146.1213724	1621006	4951	7	2	13	
SRX2147442	Lactobacillus paracasei	Lactobacillus	Lactobacillus	4842	65.000	CP029686.1212146.1213724	1696272	5519	10	1	15	
SRX2147444	Lactobacillus paracasei	Lactobacillus	Lactobacillus	4770	63.000	CP029686.1212146.1213724	1669660	5398	10	1	13	
SRX2147445	Lactobacillus paracasei	Lactobacillus	Lactobacillus	4539	125.500	CP029686.1212146.1213724	1620733	5163	15	1	13	
SRX2147446	Lactobacillus paracasei	Lactobacillus	Lactobacillus	5157	17.000	CP029686.1212146.1213724	1719694	5790	4	2	13	
SRX2147447	Lactobacillus paracasei	Lactobacillus	Lactobacillus	4923	18.125	CP029686.1212146.1213724	1720823	5622	7	4	12	
SRX2147449	Lactobacillus paracasei	Lactobacillus	Lactobacillus	4763	14.500	CP029686.1212146.1213724	1642338	5365	6	4	10	
SRX2147450	Lactobacillus paracasei	Lactobacillus	Lactobacillus	4802	30.000	CP029686.1212146.1213724	1654487	5357	6	1	12	
SRX2147452	Lactobacillus paracasei	Lactobacillus	Lactobacillus	5019	21.667	CP029686.1212146.1213724	1672263	5602	8	3	11	
SRX2147453	Lactobacillus paracasei	Lactobacillus	Lactobacillus	4087	20.000	CP029686.1212146.1213724	1529594	4598	4	1	12	
SRX215445	Lactobacillus rhamnosus	Lactobacillus	Lactobacillus	4489	11.500	CP014201.1046218.1047796	1938338	4721	1	1	11	
SRX215446	Lactobacillus rhamnosus	Lactobacillus	Lactobacillus	4411	13.333	CP014201.1046218.1047796	2167484	4884	4	6	12	
SRX215447	Lactobacillus rhamnosus	Lactobacillus	Lactobacillus	4744	12.250	CP014201.1046218.1047796	2131650	4969	1	2	12	
SRX215449	Lactobacillus rhamnosus	Lactobacillus	Lactobacillus	3550	14.000	CP014201.1046218.1047796	1710756	3697	2	1	12	
SRX2155602	Lactobacillus sp. C33LV5	Lactobacillus	Lactobacillus	5097	20.250	AF197125.1.1555	1263833	5543	5	2	14	
SRX2155606	Lactobacillus mucosae	Lactobacillus	Lactobacillus	6153	27.000	AF126738.1.1568	1004908	6260	6	1	9	
SRX2155608	Lactobacillus mucosae	Lactobacillus	Lactobacillus	5497	14.000	AF126738.1.1568	923801	5587	8	4	6	
SRX2155629	Lactobacillus mucosae	Lactobacillus	Lactobacillus	4797	8.125	AF126738.1.1568	791083	4866	5	4	5	
SRX2161487	Lactobacillus acidophilus NCFM	Lactobacillus	Lactobacillus	573	n.d.	CP000033.1632689.1634260	148662	575	2	0	1	
SRX2222449	Lactobacillus rhamnosus R0011	Lactobacillus	Lactobacillus	4196	91.333	AGKC01000003.469203.470782	1653342	5319	28	6	26	
SRX2222450	Lactobacillus rhamnosus	Lactobacillus	Lactobacillus	2701	29.750	CP014201.1046218.1047796	838668	2856	15	6	11	
SRX2222451	Lactobacillus rhamnosus	Lactobacillus	Lactobacillus	2802	34.125	CP014201.1046218.1047796	773845	2982	13	4	13	
SRX2222452	Lactobacillus rhamnosus	Lactobacillus	Lactobacillus	2658	33.125	CP014201.1046218.1047796	782103	2851	13	4	12	
SRX2222453	Lactobacillus rhamnosus R0011	Lactobacillus	Lactobacillus	1953	47.000	AGKC01000003.469203.470782	566206	2092	12	2	11	
SRX2222454	Lactobacillus rhamnosus	Lactobacillus	Lactobacillus	2068	n.d.	CP014201.1046218.1047796	666902	2128	10	0	8	
SRX2222455	Lactobacillus rhamnosus R0011	Lactobacillus	Lactobacillus	1200	18.250	AGKC01000003.469203.470782	352831	1243	7	2	6	
SRX2239653	Nicotiana otophora;Arabidopsis thaliana (thale cress);Lactobacillus fermentum	Magnoliophyta;Chloroplast;Lactobacillus	Lactobacillus	5079	30.333	AWOL010353533.344.1803;AP000423.136147.137637;AP017973.1435046.1436618	1213007	7280	10	6	22	WARNING: Multiple SSUs were assembled by SPAdes;WARNING: Assembly taxon (Magnoliophyta;Chloroplast;Lactobacillus) does not match top mapped taxon (Lactobacillus)
SRX2250249	Lactobacillus rhamnosus	Lactobacillus	Lactobacillus	5339	90.500	CP014201.1046218.1047796	2025061	6252	21	3	17	
SRX2250250	Lactobacillus rhamnosus	Lactobacillus	Lactobacillus	5160	59.100	CP014201.1046218.1047796	2099349	6083	21	5	15	
SRX2250251	Lactobacillus rhamnosus	Lactobacillus	Lactobacillus	4549	14.000	CP014201.1046218.1047796	1506190	5179	4	2	10	
SRX2250252	Lactobacillus rhamnosus	Lactobacillus	Lactobacillus	4079	62.125	CP014201.1046218.1047796	1550579	4819	19	4	17	
SRX2268563	Lactobacillus casei subsp. casei ATCC 393	Lactobacillus	Lactobacillus	3175	15.167	AP012544.709397.710970	922274	3235	7	3	7	
SRX2268564	Lactobacillus paracasei	Lactobacillus	Lactobacillus	2670	49.000	CP029686.1212146.1213724	937782	2857	12	2	13	
SRX2268565	Lactobacillus casei subsp. casei ATCC 393	Lactobacillus	Lactobacillus	2225	10.000	AP012544.709397.710970	678755	2251	6	3	4	
SRX2268566	Lactobacillus brevis KB290	Lactobacillus	Lactobacillus	3432	96.667	AP012167.920438.922003	665844	3634	22	3	16	
SRX2268567	Lactobacillus paracasei	Lactobacillus	Lactobacillus	2821	260.250	CP029686.1212146.1213724	976409	3255	31	2	20	
SRX2268569	Lactobacillus reuteri	Lactobacillus	Lactobacillus	2504	83.250	CP015408.302655.304239	591611	2731	17	2	11	
SRX2268570	Lactobacillus helveticus R0052	Lactobacillus	Lactobacillus	8629	56.200	CP003799.455041.456601	1157065	10694	18	10	40	
SRX2268571	Lactobacillus reuteri	Lactobacillus	Lactobacillus	4337	25.000	CP015408.688490.690074	572178	4530	8	2	9	
SRX2268572	Lactobacillus salivarius	Lactobacillus	Lactobacillus	7302	60.400	CP029616.1197226.1198775	653346	7595	22	5	12	
SRX2268573	Lactobacillus paracasei	Lactobacillus	Lactobacillus	2164	22.500	CP029686.1212146.1213724	786147	2254	9	3	9	
SRX2268574	Lactobacillus helveticus R0052	Lactobacillus	Lactobacillus	4133	39.125	CP003799.455041.456601	486450	4254	15	4	11	
SRX2268575	Lactobacillus paracasei	Lactobacillus	Lactobacillus	1929	12.250	CP029686.1212146.1213724	742732	1977	5	2	6	
SRX2268576	Lactobacillus salivarius	Lactobacillus	Lactobacillus	5128	111.000	CP029616.1197226.1198775	595124	5357	24	3	15	
SRX2268577	Lactobacillus paracasei	Lactobacillus	Lactobacillus	3536	42.900	CP029686.1212146.1213724	986795	3768	17	5	14	
SRX2268578	Lactobacillus paracasei	Lactobacillus	Lactobacillus	2543	33.333	CP029686.1212146.1213724	996028	2757	16	6	12	
SRX2268579	Lactobacillus reuteri TD1	Lactobacillus	Lactobacillus	2632	21.250	CP006603.682158.683754	619108	2737	7	2	9	
SRX2268580			Lactobacillus	3268	30.125		721581	3397	13	4	9	WARNING: missing SPAdes assembly of the SSU
SRX2268581	Lactobacillus reuteri DSM 20016	Lactobacillus	Lactobacillus	3003	9.250	CP000705.624382.625950	444662	3118	3	2	7	
SRX2268582			Lactobacillus	2976	40.000		607326	3051	8	1	8	WARNING: missing SPAdes assembly of the SSU
SRX2268583	Lactobacillus salivarius	Lactobacillus	Lactobacillus	5449	38.786	CP029616.1197226.1198775	620170	5810	19	7	13	
SRX2268584	Lactobacillus paracasei	Lactobacillus	Lactobacillus	2563	40.600	CP029686.1212146.1213724	943087	2818	16	5	15	
SRX2268585	Lactobacillus helveticus R0052	Lactobacillus	Lactobacillus	3190	127.500	CP003799.455041.456601	604015	3355	15	1	15	
SRX2268586	Lactobacillus paracasei	Lactobacillus	Lactobacillus	2341	32.333	CP029686.1212146.1213724	794583	2495	16	6	11	
SRX2268587	Lactobacillus helveticus R0052	Lactobacillus	Lactobacillus	2646	31.125	CP003799.455041.456601	547379	2764	13	4	10	
SRX244574	Streptococcus agalactiae	Streptococcus	Streptococcus	1448	12.125	HG939456.349924.351460	227241	1633	5	4	9	
SRX247324	Lactobacillus murinus	Lactobacillus	Lactobacillus	5990	42.000	CP023566.832314.833884	1480852	7614	12	3	18	
SRX247325	Lactobacillus murinus	Lactobacillus	Lactobacillus	7847	111.500	CP023566.832314.833884	1148820	9959	39	9	27	
SRX2582455	Lactobacillus johnsonii FI9785	Lactobacillus	Lactobacillus	3780	13.000	FN298497.455618.457268	435430	3841	4	1	5	
SRX2582456	Lactobacillus johnsonii FI9785	Lactobacillus	Lactobacillus	3434	n.d.	FN298497.455618.457268	552922	3490	3	0	7	
SRX2582457	Lactobacillus johnsonii FI9785	Lactobacillus	Lactobacillus	4023	n.d.	FN298497.455618.457268	501452	4081	3	0	7	
SRX2582458	Lactobacillus johnsonii FI9785	Lactobacillus	Lactobacillus	2680	5.000	FN298497.455618.457268	435306	2711	2	2	4	
SRX2582459	Lactobacillus johnsonii FI9785	Lactobacillus	Lactobacillus	2906	5.000	FN298497.455618.457268	444825	2941	2	2	4	
SRX2582460	Lactobacillus johnsonii FI9785;Lactobacillus reuteri	Lactobacillus	Lactobacillus	3001	22.000	FN298497.455618.457268;CP015408.302655.304239	508727	3046	6	1	4	WARNING: Multiple SSUs were assembled by SPAdes
SRX2582461	Lactobacillus reuteri TD1	Lactobacillus	Lactobacillus	1989	9.500	CP006603.682158.683754	474167	2056	3	1	5	
SRX2582462	Lactobacillus reuteri	Lactobacillus	Lactobacillus	1607	8.500	CP015408.302655.304239	433676	1672	3	1	4	
SRX2582463	Lactobacillus reuteri	Lactobacillus	Lactobacillus	2163	9.500	CP015408.302655.304239	606164	2237	3	1	5	
SRX2582465	Lactobacillus reuteri TD1	Lactobacillus	Lactobacillus	2751	16.500	CP006603.682158.683754	587457	2828	5	1	4	
SRX2582466	Lactobacillus reuteri TD1	Lactobacillus	Lactobacillus	2447	6.000	CP006603.682158.683754	636931	2546	0	1	6	
SRX2582467	Lactobacillus sp. L0(2016)	Lactobacillus	Lactobacillus	2739	5.500	KX010808.1.1465	590117	2829	3	3	4	
SRX2582468	Lactobacillus reuteri	Lactobacillus	Lactobacillus	2002	7.000	CP015408.302655.304239	446108	2085	2	1	5	
SRX2610825	Lactobacillus acidophilus NCFM	Lactobacillus	Lactobacillus	4296	37.500	CP000033.1632689.1634260	533382	4461	14	4	13	
SRX2610826	Lactobacillus plantarum	Lactobacillus	Lactobacillus	1557	n.d.	CP011769.1010671.1012246	470959	1578	5	0	4	
SRX2610827	Lactobacillus rhamnosus	Lactobacillus	Lactobacillus	2088	11.000	CP014201.1046218.1047796	693095	2130	6	3	5	
SRX2610828	Lactobacillus reuteri TD1	Lactobacillus	Lactobacillus	2328	16.000	CP006603.682158.683754	493518	2376	4	1	8	
SRX2610829	Lactobacillus acidophilus NCFM	Lactobacillus	Lactobacillus	4141	51.250	CP000033.1632689.1634260	553208	4246	13	2	9	
SRX2610831	Lactobacillus acidophilus NCFM	Lactobacillus	Lactobacillus	3729	119.125	CP000033.1632689.1634260	756284	3986	29	4	14	
SRX2610836	Lactobacillus plantarum	Lactobacillus	Lactobacillus	2391	14.125	CP011769.1010671.1012246	773363	2443	9	4	4	
SRX2610839	Lactobacillus rhamnosus R0011	Lactobacillus	Lactobacillus	2557	58.100	AGKC01000003.469203.470782	813472	2754	21	5	14	
SRX2610840	Lactobacillus rhamnosus	Lactobacillus	Lactobacillus	1950	19.500	CP014201.1046218.1047796	662509	1991	5	1	7	
SRX2641059	Lactobacillus salivarius	Lactobacillus	Lactobacillus	9309	119.050	CP017107.541095.542664	965900	10410	41	10	35	
SRX2641073	Lactobacillus reuteri	Lactobacillus	Lactobacillus	6262	42.600	CP015408.302655.304239	949934	6595	16	5	17	
SRX2641081	Lactobacillus salivarius	Lactobacillus	Lactobacillus	11528	112.042	CP020858.11247.12815	978425	13691	41	12	42	
SRX2641165	Lactobacillus johnsonii FI9785	Lactobacillus	Lactobacillus	12670	222.083	FN298497.455618.457268	1114925	14494	47	6	38	
SRX2641191	Lactobacillus reuteri	Lactobacillus	Lactobacillus	5037	50.500	CP015408.302655.304239	891143	5205	15	3	13	
SRX2641200	Lactobacillus gallinarum	Lactobacillus	Lactobacillus	10242	45.000	AJ417737.1.1546	880183	10481	16	4	13	
SRX2641222	Lactobacillus salivarius	Lactobacillus	Lactobacillus	8892	55.000	CP017107.117066.118635	850554	9467	24	8	19	
SRX2641232	Lactobacillus gallinarum	Lactobacillus	Lactobacillus	8674	182.250	AJ417737.1.1546	798933	9215	25	2	26	
SRX2641234	Lactobacillus gallinarum	Lactobacillus	Lactobacillus	5404	50.125	AJ417737.1.1546	765363	5666	17	4	14	
SRX2641236	Lactobacillus gallinarum	Lactobacillus	Lactobacillus	3364	48.125	AJ417737.1.1546	778623	3546	17	4	12	
SRX2641251	Lactobacillus gallinarum	Lactobacillus	Lactobacillus	2643	59.000	AJ417737.1.1546	672168	2756	20	4	9	
SRX2660270	Lactobacillus crispatus ST1	Lactobacillus	Lactobacillus	2234	14.250	FN692037.427906.429457	458350	2249	7	2	2	
SRX2699459	Lactobacillus plantarum	Lactobacillus	Lactobacillus	2962	57.800	CP011769.1010671.1012246	1103586	3214	26	10	24	
SRX2736144	Ochotona princeps (American pika);Lactobacillus paragasseri	Mammalia;Lactobacillus	Lactobacillus	4474	7.500	AAYZ01424023.1547.2934;AP018549.475961.477529	935027	4600	3	3	6	WARNING: Multiple SSUs were assembled by SPAdes;WARNING: Assembly taxon (Mammalia;Lactobacillus) does not match top mapped taxon (Lactobacillus)
SRX2736145	Erinaceus europaeus (western European hedgehog)	Mammalia	Choanozoa	182	3.250	AANN01653944.1.1854	983021	341	1	2	3	WARNING: Assembly taxon (Mammalia) does not match top mapped taxon (Choanozoa)
SRX2736146	Lactobacillus paragasseri	Lactobacillus	Lactobacillus	3756	9.500	AP018549.475961.477529	955161	3942	3	3	8	
SRX2736147	Lactobacillus paragasseri	Lactobacillus	Lactobacillus	4158	n.d.	AP018549.475961.477529	961870	4332	8	0	7	
SRX2736148	Lactobacillus paragasseri	Lactobacillus	Lactobacillus	3914	8.000	AP018549.475961.477529	1003031	4066	4	4	6	
SRX2736149	Lactobacillus paragasseri;Bos mutus (wild yak)	Lactobacillus;Mammalia	Lactobacillus	4140	n.d.	AP018549.475961.477529;CP027095.5202018.5203876	1202911	4328	5	0	9	WARNING: Multiple SSUs were assembled by SPAdes;WARNING: Assembly taxon (Lactobacillus;Mammalia) does not match top mapped taxon (Lactobacillus)
SRX2741187	Erinaceus europaeus (western European hedgehog)	Mammalia	Choanozoa	182	3.250	AANN01653944.1.1854	983021	341	1	2	3	WARNING: Assembly taxon (Mammalia) does not match top mapped taxon (Choanozoa)
SRX2741188	Lactobacillus paragasseri	Lactobacillus	Lactobacillus	3756	9.500	AP018549.475961.477529	955161	3942	3	3	8	
SRX2741189	Lactobacillus paragasseri	Lactobacillus	Lactobacillus	4158	n.d.	AP018549.475961.477529	961870	4332	8	0	7	
SRX2741190	Lactobacillus paragasseri	Lactobacillus	Lactobacillus	3914	8.000	AP018549.475961.477529	1003031	4066	4	4	6	
SRX2741191	Bos mutus (wild yak);Lactobacillus paragasseri	Mammalia;Lactobacillus	Lactobacillus	4140	n.d.	CP027095.5202018.5203876;AP018549.475961.477529	1202911	4328	5	0	9	WARNING: Multiple SSUs were assembled by SPAdes;WARNING: Assembly taxon (Mammalia;Lactobacillus) does not match top mapped taxon (Lactobacillus)
SRX2741192	Ochotona princeps (American pika);Lactobacillus paragasseri	Mammalia;Lactobacillus	Lactobacillus	4474	6.500	AAYZ01424023.1547.2934;AP018549.475961.477529	935027	4600	2	4	6	WARNING: Multiple SSUs were assembled by SPAdes;WARNING: Assembly taxon (Mammalia;Lactobacillus) does not match top mapped taxon (Lactobacillus)
SRX2789243	Lactobacillus paragasseri;Bos mutus (wild yak)	Lactobacillus;Mammalia	Lactobacillus	4140	n.d.	AP018549.475961.477529;CP027095.5202018.5203876	1202911	4328	5	0	9	WARNING: Multiple SSUs were assembled by SPAdes;WARNING: Assembly taxon (Lactobacillus;Mammalia) does not match top mapped taxon (Lactobacillus)
SRX2789244	Lactobacillus paragasseri	Lactobacillus	Lactobacillus	3914	8.000	AP018549.475961.477529	1003031	4066	4	4	6	
SRX2789245	Lactobacillus paragasseri	Lactobacillus	Lactobacillus	4158	n.d.	AP018549.475961.477529	961870	4332	8	0	7	
SRX2789246	Lactobacillus paragasseri	Lactobacillus	Lactobacillus	3756	9.500	AP018549.475961.477529	955161	3942	3	3	8	
SRX2789247	Erinaceus europaeus (western European hedgehog)	Mammalia	Choanozoa	182	3.250	AANN01653944.1.1854	983021	341	1	2	3	WARNING: Assembly taxon (Mammalia) does not match top mapped taxon (Choanozoa)
SRX2789248	Ochotona princeps (American pika);Lactobacillus paragasseri	Mammalia;Lactobacillus	Lactobacillus	4474	7.500	AAYZ01424023.1547.2934;AP018549.475961.477529	935027	4600	3	3	6	WARNING: Multiple SSUs were assembled by SPAdes;WARNING: Assembly taxon (Mammalia;Lactobacillus) does not match top mapped taxon (Lactobacillus)
SRX2940497	Lactobacillus brevis	Lactobacillus	Lactobacillus	3596	217.000	CP016797.866760.868334	944107	3795	20	1	17	
SRX2940500	Lactobacillus brevis BSO 464	Lactobacillus	Lactobacillus	1872	20.750	CP005977.441566.443148	671451	2001	9	6	14	
SRX2940501	Lactobacillus plantarum	Lactobacillus	Lactobacillus	2184	348.000	CP011769.1010671.1012246	937670	2346	26	1	10	
