sample	Protein identifier	Gene symbol	Sequence name	Scope	Element type	Element subtype	Class	Subclass	Method	Target length	Reference sequence length	% Coverage of reference sequence	% Identity to reference sequence	Alignment length	Accession of closest sequence	Name of closest sequence	HMM id	HMM description
SRX2147369	SRX2147369_01702	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	493	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX2147372	SRX2147372_01726	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	493	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX2147374	SRX2147374_01661	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	493	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX2147376	SRX2147376_01588	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	493	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX2147377	SRX2147377_01681	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	493	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX2147379	SRX2147379_01650	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	493	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX2147380	SRX2147380_01664	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	493	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX2147382	SRX2147382_01712	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	493	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX2147383	SRX2147383_01697	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	493	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX2147386	SRX2147386_01605	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	493	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX2147387	SRX2147387_01821	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	493	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX2147388	SRX2147388_01721	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	493	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX2147391	SRX2147391_01638	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	493	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX2147393	SRX2147393_01701	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	493	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX2147395	SRX2147395_01831	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	493	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX2147397	SRX2147397_01769	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	493	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX2147398	SRX2147398_01702	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	493	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX2147400	SRX2147400_01761	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	493	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX2147402	SRX2147402_01592	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	493	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX2147404	SRX2147404_01728	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	493	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX2147405	SRX2147405_01734	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	493	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX2147410	SRX2147410_01686	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	493	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX2147413	SRX2147413_01723	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	493	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX2147418	SRX2147418_01725	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	493	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX2147421	SRX2147421_01766	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	493	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX2147423	SRX2147423_01695	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	493	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX2147425	SRX2147425_01741	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	493	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX2147436	SRX2147436_01727	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	493	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX2147437	SRX2147437_01715	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	493	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX2147438	SRX2147438_01827	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	493	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX2147440	SRX2147440_01840	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	493	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX2147442	SRX2147442_01746	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	493	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX2147444	SRX2147444_01724	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	493	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX2147445	SRX2147445_01716	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	493	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX2147446	SRX2147446_01548	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	493	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX2147447	SRX2147447_01815	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	493	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX2147449	SRX2147449_01726	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	493	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX2147450	SRX2147450_02416	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	493	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX2147452	SRX2147452_02533	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	493	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX2147453	SRX2147453_01863	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	493	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX215445	SRX215445_00192	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	494	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX215446	SRX215446_00409	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	494	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX215447	SRX215447_00192	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	494	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX215449	SRX215449_00378	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	494	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX2155602	SRX2155602_01186	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	646	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX2222449	SRX2222449_01371	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	494	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX2222450	SRX2222450_01579	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	494	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX2222451	SRX2222451_01428	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	494	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX2222452	SRX2222452_01426	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	494	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX2222453	SRX2222453_00734	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	494	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX2222454	SRX2222454_00192	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	494	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX2222455	SRX2222455_00447	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	494	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX2250249	SRX2250249_00978	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	494	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX2250250	SRX2250250_01027	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	494	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX2250251	SRX2250251_02536	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	494	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX2250252	SRX2250252_00860	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	494	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX2268563	SRX2268563_00983	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	495	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX2268564	SRX2268564_02107	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	493	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX2268565	SRX2268565_00977	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	495	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX2268567	SRX2268567_00526	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	493	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX2268568	SRX2268568_00995	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	493	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX2268572	SRX2268572_01250	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	493	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX2268573	SRX2268573_01620	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	493	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX2268575	SRX2268575_01961	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	493	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX2268576	SRX2268576_00830	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	493	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX2268577	SRX2268577_01393	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	493	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX2268578	SRX2268578_00335	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	493	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX2268579	SRX2268579_01403	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	645	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX2268579	SRX2268579_01883	lnu(A)	lincosamide nucleotidyltransferase Lnu(A)	core	AMR	AMR	LINCOSAMIDE	LINCOSAMIDE	EXACTP	161	161	100.00	100.00	161	WP_001829870.1	lincosamide nucleotidyltransferase Lnu(A)	NF000236.1	lincosamide nucleotidyltransferase Lnu(A)
SRX2268583	SRX2268583_01229	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	493	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX2268584	SRX2268584_01086	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	493	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX2268586	SRX2268586_00727	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	493	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX244574	SRX244574_01518	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	EXACTP	639	639	100.00	100.00	639	WP_000691736.1	tetracycline resistance ribosomal protection protein Tet(M)	NF012155.1	tetracycline resistance ribosomal protection protein Tet(M)
SRX244574	SRX244574_01519	erm(B)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)	core	AMR	AMR	MACROLIDE	MACROLIDE	EXACTP	245	245	100.00	100.00	245	WP_001038790.1	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)	NF012220.1	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)
SRX2610827	SRX2610827_01849	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	494	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX2610828	SRX2610828_00559	lnu(A)	lincosamide nucleotidyltransferase Lnu(A)	core	AMR	AMR	LINCOSAMIDE	LINCOSAMIDE	EXACTP	161	161	100.00	100.00	161	WP_001829870.1	lincosamide nucleotidyltransferase Lnu(A)	NF000236.1	lincosamide nucleotidyltransferase Lnu(A)
SRX2610828	SRX2610828_01613	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	645	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX2610839	SRX2610839_00840	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	494	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX2610840	SRX2610840_01692	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	494	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX2641059	SRX2641059_01792	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTP	645	639	99.69	99.06	639	WP_000691736.1	tetracycline resistance ribosomal protection protein Tet(M)	NF012155.1	tetracycline resistance ribosomal protection protein Tet(M)
SRX2641059	SRX2641059_01876	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	493	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX2641073	SRX2641073_01430	tet(W)	tetracycline resistance ribosomal protection protein Tet(W)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTP	639	639	100.00	99.84	639	WP_000691721.1	tetracycline resistance ribosomal protection protein Tet(W)	NF033148.1	TetM/TetW/TetO/TetS family tetracycline resistance ribosomal protection protein
SRX2641073	SRX2641073_01784	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	645	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX2641081	SRX2641081_01285	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	493	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX2641165	SRX2641165_00433	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	503	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX2641165	SRX2641165_00740	lnu(C)	lincosamide nucleotidyltransferase Lnu(C)	core	AMR	AMR	LINCOSAMIDE	LINCOSAMIDE	BLASTP	164	164	100.00	97.56	164	WP_063851341.1	lincosamide nucleotidyltransferase Lnu(C)	NF000141.1	lincosamide nucleotidyltransferase Lnu(C)
SRX2641165	SRX2641165_01742	tet(W)	tetracycline resistance ribosomal protection protein Tet(W)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTP	639	639	100.00	99.53	639	WP_000691721.1	tetracycline resistance ribosomal protection protein Tet(W)	NF033148.1	TetM/TetW/TetO/TetS family tetracycline resistance ribosomal protection protein
SRX2641191	SRX2641191_01301	tet(W)	tetracycline resistance ribosomal protection protein Tet(W)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTP	639	639	100.00	99.84	639	WP_000691721.1	tetracycline resistance ribosomal protection protein Tet(W)	NF033148.1	TetM/TetW/TetO/TetS family tetracycline resistance ribosomal protection protein
SRX2641191	SRX2641191_01772	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	645	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX2641200	SRX2641200_01766	tet(W)	tetracycline resistance ribosomal protection protein Tet(W)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTP	641	639	100.00	99.53	639	WP_000691721.1	tetracycline resistance ribosomal protection protein Tet(W)	NF033148.1	TetM/TetW/TetO/TetS family tetracycline resistance ribosomal protection protein
SRX2641222	SRX2641222_01616	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	490	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX2641232	SRX2641232_01107	tet(W)	tetracycline resistance ribosomal protection protein Tet(W)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTP	641	639	100.00	99.69	639	WP_000691721.1	tetracycline resistance ribosomal protection protein Tet(W)	NF033148.1	TetM/TetW/TetO/TetS family tetracycline resistance ribosomal protection protein
SRX2736148	SRX2736148_00664	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	502	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX2741190	SRX2741190_00664	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	502	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX2789244	SRX2789244_00664	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	502	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX298584	SRX298584_00255	vat	Vat family streptogramin A O-acetyltransferase	core	AMR	AMR	STREPTOGRAMIN	STREPTOGRAMIN	HMM	212	NA	NA	NA	NA	NA	NA	NF000311.1	Vat family streptogramin A O-acetyltransferase
SRX301752	SRX301752_00893	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	648	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX301885	SRX301885_01219	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	498	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX3104383	SRX3104383_00460	erm(B)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)	core	AMR	AMR	MACROLIDE	MACROLIDE	EXACTP	245	245	100.00	100.00	245	WP_001038790.1	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)	NF012220.1	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)
SRX3104383	SRX3104383_00461	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	EXACTP	639	639	100.00	100.00	639	WP_000691736.1	tetracycline resistance ribosomal protection protein Tet(M)	NF012155.1	tetracycline resistance ribosomal protection protein Tet(M)
SRX3104383	SRX3104383_01177	lsa	Lsa family ABC-F type ribosomal protection protein	core	AMR	AMR	LINCOSAMIDE/STREPTOGRAMIN	LINCOSAMIDE/STREPTOGRAMIN	HMM	492	NA	NA	NA	NA	NA	NA	NF000167.1	Lsa family ABC-F type ribosomal protection protein
SRX3104384	SRX3104384_00425	lsa	Lsa family ABC-F type ribosomal protection protein	core	AMR	AMR	LINCOSAMIDE/STREPTOGRAMIN	LINCOSAMIDE/STREPTOGRAMIN	HMM	492	NA	NA	NA	NA	NA	NA	NF000167.1	Lsa family ABC-F type ribosomal protection protein
SRX3104384	SRX3104384_00615	erm(B)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)	core	AMR	AMR	MACROLIDE	MACROLIDE	EXACTP	245	245	100.00	100.00	245	WP_001038790.1	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)	NF012220.1	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)
SRX3104384	SRX3104384_00616	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	EXACTP	639	639	100.00	100.00	639	WP_000691736.1	tetracycline resistance ribosomal protection protein Tet(M)	NF012155.1	tetracycline resistance ribosomal protection protein Tet(M)
SRX3104388	SRX3104388_00035	lsa	Lsa family ABC-F type ribosomal protection protein	core	AMR	AMR	LINCOSAMIDE/STREPTOGRAMIN	LINCOSAMIDE/STREPTOGRAMIN	HMM	492	NA	NA	NA	NA	NA	NA	NF000167.1	Lsa family ABC-F type ribosomal protection protein
SRX3104392	SRX3104392_00617	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	502	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX334092	SRX334092_01652	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	504	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX334092	SRX334092_01909	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	EXACTP	639	639	100.00	100.00	639	WP_000691737.1	tetracycline resistance ribosomal protection protein Tet(M)	NF012155.1	tetracycline resistance ribosomal protection protein Tet(M)
SRX334093	SRX334093_01631	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	504	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX334093	SRX334093_01879	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	EXACTP	639	639	100.00	100.00	639	WP_000691737.1	tetracycline resistance ribosomal protection protein Tet(M)	NF012155.1	tetracycline resistance ribosomal protection protein Tet(M)
SRX334094	SRX334094_01652	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	504	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX334094	SRX334094_01890	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	EXACTP	639	639	100.00	100.00	639	WP_000691737.1	tetracycline resistance ribosomal protection protein Tet(M)	NF012155.1	tetracycline resistance ribosomal protection protein Tet(M)
SRX334095	SRX334095_01600	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	504	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX334095	SRX334095_01898	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	EXACTP	639	639	100.00	100.00	639	WP_000691737.1	tetracycline resistance ribosomal protection protein Tet(M)	NF012155.1	tetracycline resistance ribosomal protection protein Tet(M)
